loan_id,customer_id,loan_type,loan_amount,interest_rate,term_months,start_date,end_date,status,name,gender,date_of_birth,age,marital_status,education_level,occupation,income,region,join_date,email,phone,score,risk_level,default
1,5,Home,97676573.98,13.67,36,2024-07-05,2027-06-20,Approved,Yin Zaw,Other,1972-05-11,53,Divorced,Middle School,Business Owner,4798901.44,Taunggyi,2024-01-06,yin.zaw@gmail.com,959549567288,607,Medium,0
2,7,Education,99263725.31,14.25,36,2024-05-01,2027-04-16,Approved,Phyu Hlaing,Other,1974-11-16,51,Single,Diploma,Teacher,2894590.97,Sittwe,2018-08-03,phyu.hlaing@gmail.com,959894064955,748,Low,0
3,9,Home,26097889.45,14.21,12,2025-02-18,2026-02-13,Approved,Kyaw Win,Male,2002-06-07,23,Widowed,High School,Driver,3287716.89,Taunggyi,2018-08-22,kyaw.win@gmail.com,959938132103,695,Medium,0
4,12,Business,53047598.27,8.11,60,2022-03-19,2027-02-21,Approved,Myo Htun,Male,1952-01-28,73,Married,PhD,Farmer,4083715.26,Monywa,2020-11-03,myo.htun@gmail.com,959156069497,850,Low,0
5,14,Home,33955016.85,12.89,24,2022-10-05,2024-09-24,Paid,Min Oo,Male,1992-07-14,33,Married,Master,Fisherman,2833193.26,Sittwe,2022-04-16,min.oo@gmail.com,959853301447,727,Low,0
6,29,Business,48296670.29,9.45,36,2024-05-05,2027-04-20,Paid,Phyu Kyaw,Other,1965-07-15,60,Widowed,PhD,Doctor,1194926.6,Mandalay,2019-03-27,phyu.kyaw@gmail.com,959163331824,526,High,0
7,33,Business,17644741.5,13.19,12,2025-02-20,2026-02-15,Paid,Zaw Lin,Male,1996-04-12,29,Single,Primary,Bank Employee,4996627.6,Yangon,2024-08-03,zaw.lin@gmail.com,959701683383,761,Low,0
8,34,Car,52085586.27,11.5,120,2018-09-03,2028-07-12,Paid,Kyaw Oo,Male,1958-08-20,67,Widowed,Diploma,Driver,1304612.31,Monywa,2016-11-13,kyaw.oo@gmail.com,959141466408,753,Low,0
9,37,Education,61587702.1,12.86,120,2024-07-22,2034-05-31,Paid,Thet Htun,Other,1980-11-08,45,Divorced,Primary,Farmer,3045634.69,Pathein,2024-05-01,thet.htun@gmail.com,959223440349,834,Low,0
10,38,Car,10083162.46,8.64,24,2024-07-25,2026-07-15,Paid,Khin Htun,Other,1995-03-15,30,Single,PhD,Government Employee,622050.26,Mandalay,2023-09-23,khin.htun@gmail.com,959691788042,753,Low,0
11,41,Car,70986289.96,12.84,36,2021-05-29,2024-05-13,Approved,Min Moe,Male,1946-06-15,79,Married,Master,Bank Employee,1709986.28,Taunggyi,2016-08-08,min.moe@gmail.com,959388943410,388,High,0
12,43,Personal,28498055.41,9.5,60,2023-04-01,2028-03-05,Approved,Myo Win,Male,1975-11-17,50,Married,High School,Merchant,1041410.11,Pathein,2019-09-07,myo.win@gmail.com,959171021174,439,High,0
