customer_id,name,gender,date_of_birth,age,marital_status,education_level,occupation,income,region,join_date,email,phone,response_id,campaign_id,response_date,responded,responded_flag
6,Zaw Moe,Male,1960-06-22,65,Single,High School,Engineer,3137512.35,Yangon,2024-07-15,zaw.moe@gmail.com,959754592968,6,1,2024-09-25,False,0
6,Zaw Moe,Male,1960-06-22,65,Single,High School,Engineer,3137512.35,Yangon,2024-07-15,zaw.moe@gmail.com,959754592968,1006,2,2024-09-28,True,1
6,Zaw Moe,Male,1960-06-22,65,Single,High School,Engineer,3137512.35,Yangon,2024-07-15,zaw.moe@gmail.com,959754592968,2006,3,2024-06-26,False,0
6,Zaw Moe,Male,1960-06-22,65,Single,High School,Engineer,3137512.35,Yangon,2024-07-15,zaw.moe@gmail.com,959754592968,3006,4,2023-07-23,False,0
6,Zaw Moe,Male,1960-06-22,65,Single,High School,Engineer,3137512.35,Yangon,2024-07-15,zaw.moe@gmail.com,959754592968,4006,5,2024-11-13,True,1
6,Zaw Moe,Male,1960-06-22,65,Single,High School,Engineer,3137512.35,Yangon,2024-07-15,zaw.moe@gmail.com,959754592968,5006,6,2024-09-16,False,0
6,Zaw Moe,Male,1960-06-22,65,Single,High School,Engineer,3137512.35,Yangon,2024-07-15,zaw.moe@gmail.com,959754592968,6006,7,2024-04-05,True,1
6,Zaw Moe,Male,1960-06-22,65,Single,High School,Engineer,3137512.35,Yangon,2024-07-15,zaw.moe@gmail.com,959754592968,7006,8,2023-09-09,False,0
6,Zaw Moe,Male,1960-06-22,65,Single,High School,Engineer,3137512.35,Yangon,2024-07-15,zaw.moe@gmail.com,959754592968,8006,9,2023-07-13,False,0
6,Zaw Moe,Male,1960-06-22,65,Single,High School,Engineer,3137512.35,Yangon,2024-07-15,zaw.moe@gmail.com,959754592968,9006,10,2023-06-18,True,1
17,Yin Myint,Female,1966-09-30,59,Widowed,Bachelor,Merchant,4864068.37,Yangon,2020-05-01,yin.myint@gmail.com,959563614851,17,1,2024-09-25,True,1
17,Yin Myint,Female,1966-09-30,59,Widowed,Bachelor,Merchant,4864068.37,Yangon,2020-05-01,yin.myint@gmail.com,959563614851,1017,2,2024-09-25,False,0
17,Yin Myint,Female,1966-09-30,59,Widowed,Bachelor,Merchant,4864068.37,Yangon,2020-05-01,yin.myint@gmail.com,959563614851,2017,3,2024-06-09,False,0
17,Yin Myint,Female,1966-09-30,59,Widowed,Bachelor,Merchant,4864068.37,Yangon,2020-05-01,yin.myint@gmail.com,959563614851,3017,4,2023-08-06,True,1
17,Yin Myint,Female,1966-09-30,59,Widowed,Bachelor,Merchant,4864068.37,Yangon,2020-05-01,yin.myint@gmail.com,959563614851,4017,5,2024-11-02,False,0
17,Yin Myint,Female,1966-09-30,59,Widowed,Bachelor,Merchant,4864068.37,Yangon,2020-05-01,yin.myint@gmail.com,959563614851,5017,6,2024-10-26,False,0
17,Yin Myint,Female,1966-09-30,59,Widowed,Bachelor,Merchant,4864068.37,Yangon,2020-05-01,yin.myint@gmail.com,959563614851,6017,7,2024-04-13,True,1
17,Yin Myint,Female,1966-09-30,59,Widowed,Bachelor,Merchant,4864068.37,Yangon,2020-05-01,yin.myint@gmail.com,959563614851,7017,8,2023-09-12,True,1
17,Yin Myint,Female,1966-09-30,59,Widowed,Bachelor,Merchant,4864068.37,Yangon,2020-05-01,yin.myint@gmail.com,959563614851,8017,9,2023-07-23,True,1
17,Yin Myint,Female,1966-09-30,59,Widowed,Bachelor,Merchant,4864068.37,Yangon,2020-05-01,yin.myint@gmail.com,959563614851,9017,10,2023-06-27,True,1
30,Yin Zaw,Other,2003-09-10,22,Widowed,Diploma,Driver,4360032.72,Yangon,2016-07-12,yin.zaw@gmail.com,959799760377,30,1,2024-09-21,False,0
30,Yin Zaw,Other,2003-09-10,22,Widowed,Diploma,Driver,4360032.72,Yangon,2016-07-12,yin.zaw@gmail.com,959799760377,1030,2,2024-10-12,True,1
30,Yin Zaw,Other,2003-09-10,22,Widowed,Diploma,Driver,4360032.72,Yangon,2016-07-12,yin.zaw@gmail.com,959799760377,2030,3,2024-06-27,True,1
30,Yin Zaw,Other,2003-09-10,22,Widowed,Diploma,Driver,4360032.72,Yangon,2016-07-12,yin.zaw@gmail.com,959799760377,3030,4,2023-08-13,True,1
30,Yin Zaw,Other,2003-09-10,22,Widowed,Diploma,Driver,4360032.72,Yangon,2016-07-12,yin.zaw@gmail.com,959799760377,4030,5,2024-10-31,True,1
30,Yin Zaw,Other,2003-09-10,22,Widowed,Diploma,Driver,4360032.72,Yangon,2016-07-12,yin.zaw@gmail.com,959799760377,5030,6,2024-10-07,False,0
30,Yin Zaw,Other,2003-09-10,22,Widowed,Diploma,Driver,4360032.72,Yangon,2016-07-12,yin.zaw@gmail.com,959799760377,6030,7,2024-05-02,True,1
30,Yin Zaw,Other,2003-09-10,22,Widowed,Diploma,Driver,4360032.72,Yangon,2016-07-12,yin.zaw@gmail.com,959799760377,7030,8,2023-09-10,True,1
30,Yin Zaw,Other,2003-09-10,22,Widowed,Diploma,Driver,4360032.72,Yangon,2016-07-12,yin.zaw@gmail.com,959799760377,8030,9,2023-07-25,False,0
30,Yin Zaw,Other,2003-09-10,22,Widowed,Diploma,Driver,4360032.72,Yangon,2016-07-12,yin.zaw@gmail.com,959799760377,9030,10,2023-06-28,False,0
33,Zaw Lin,Male,1996-04-12,29,Single,Primary,Bank Employee,4996627.6,Yangon,2024-08-03,zaw.lin@gmail.com,959701683383,33,1,2024-09-27,True,1
33,Zaw Lin,Male,1996-04-12,29,Single,Primary,Bank Employee,4996627.6,Yangon,2024-08-03,zaw.lin@gmail.com,959701683383,1033,2,2024-09-25,True,1
33,Zaw Lin,Male,1996-04-12,29,Single,Primary,Bank Employee,4996627.6,Yangon,2024-08-03,zaw.lin@gmail.com,959701683383,2033,3,2024-06-13,True,1
33,Zaw Lin,Male,1996-04-12,29,Single,Primary,Bank Employee,4996627.6,Yangon,2024-08-03,zaw.lin@gmail.com,959701683383,3033,4,2023-08-17,False,0
33,Zaw Lin,Male,1996-04-12,29,Single,Primary,Bank Employee,4996627.6,Yangon,2024-08-03,zaw.lin@gmail.com,959701683383,4033,5,2024-11-01,True,1
33,Zaw Lin,Male,1996-04-12,29,Single,Primary,Bank Employee,4996627.6,Yangon,2024-08-03,zaw.lin@gmail.com,959701683383,5033,6,2024-10-25,True,1
33,Zaw Lin,Male,1996-04-12,29,Single,Primary,Bank Employee,4996627.6,Yangon,2024-08-03,zaw.lin@gmail.com,959701683383,6033,7,2024-04-06,True,1
33,Zaw Lin,Male,1996-04-12,29,Single,Primary,Bank Employee,4996627.6,Yangon,2024-08-03,zaw.lin@gmail.com,959701683383,7033,8,2023-09-18,False,0
33,Zaw Lin,Male,1996-04-12,29,Single,Primary,Bank Employee,4996627.6,Yangon,2024-08-03,zaw.lin@gmail.com,959701683383,8033,9,2023-07-27,True,1
33,Zaw Lin,Male,1996-04-12,29,Single,Primary,Bank Employee,4996627.6,Yangon,2024-08-03,zaw.lin@gmail.com,959701683383,9033,10,2023-06-05,True,1
36,Yin Hlaing,Female,1947-11-25,78,Widowed,Middle School,Business Owner,1694526.78,Yangon,2023-11-16,yin.hlaing@gmail.com,959223685906,36,1,2024-09-07,False,0
36,Yin Hlaing,Female,1947-11-25,78,Widowed,Middle School,Business Owner,1694526.78,Yangon,2023-11-16,yin.hlaing@gmail.com,959223685906,1036,2,2024-10-26,True,1
36,Yin Hlaing,Female,1947-11-25,78,Widowed,Middle School,Business Owner,1694526.78,Yangon,2023-11-16,yin.hlaing@gmail.com,959223685906,2036,3,2024-06-11,False,0
36,Yin Hlaing,Female,1947-11-25,78,Widowed,Middle School,Business Owner,1694526.78,Yangon,2023-11-16,yin.hlaing@gmail.com,959223685906,3036,4,2023-08-25,True,1
36,Yin Hlaing,Female,1947-11-25,78,Widowed,Middle School,Business Owner,1694526.78,Yangon,2023-11-16,yin.hlaing@gmail.com,959223685906,4036,5,2024-10-29,False,0
36,Yin Hlaing,Female,1947-11-25,78,Widowed,Middle School,Business Owner,1694526.78,Yangon,2023-11-16,yin.hlaing@gmail.com,959223685906,5036,6,2024-10-25,False,0
